ts,optimizer,space,trial,run_id,params_json,fitness,best_so_far
2025-10-15T06:33:06.537436Z,GA,Vision-8,29,0,"{""lane_kp_off"": 0.13428261277286482, ""lane_kp_head"": 0.24297229403084153, ""lane_kp_curv"": 0.21692520560051193, ""curv_thr_slow"": 0.8436712887785875, ""lane_conf_thr"": 0.7461458051688832, ""canny_scale"": 1.194126810520988, ""hough_threshold"": 22, ""diag_roi_row_start"": 0.5572318280192666}",76.145822,78.943545
2025-10-15T06:33:56.293308Z,GA,Vision-8,30,0,"{""lane_kp_off"": 0.19989554973810836, ""lane_kp_head"": 0.23780669960150003, ""lane_kp_curv"": 0.13207131957459595, ""curv_thr_slow"": 0.6977057529719087, ""lane_conf_thr"": 0.5394272334839934, ""canny_scale"": 1.0279128926116359, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.5216877543246194}",76.287344,78.943545
2025-10-15T06:34:44.793755Z,GA,Vision-8,31,0,"{""lane_kp_off"": 0.0198572260139282, ""lane_kp_head"": 0.3274844896164935, ""lane_kp_curv"": 0.07354559223417126, ""curv_thr_slow"": 0.5169466833334959, ""lane_conf_thr"": 0.5557442705394494, ""canny_scale"": 1.010541115766286, ""hough_threshold"": 29, ""diag_roi_row_start"": 0.5343859107799275}",75.808778,78.943545
2025-10-15T06:35:33.884145Z,GA,Vision-8,32,0,"{""lane_kp_off"": 0.19720980882393974, ""lane_kp_head"": 0.3710281261756839, ""lane_kp_curv"": 0.12919628275414907, ""curv_thr_slow"": 0.33635359393479264, ""lane_conf_thr"": 0.5355498062801993, ""canny_scale"": 0.9572837520112116, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.4982494126586983}",76.910785,78.943545
2025-10-15T06:36:22.336983Z,GA,Vision-8,33,0,"{""lane_kp_off"": 0.03327300838725174, ""lane_kp_head"": 0.2974700547820004, ""lane_kp_curv"": 0.050577614012436475, ""curv_thr_slow"": 0.523227743930387, ""lane_conf_thr"": 0.49312169011379986, ""canny_scale"": 1.0358561855216228, ""hough_threshold"": 27, ""diag_roi_row_start"": 0.5020111482986633}",75.941714,78.943545
2025-10-15T06:37:10.935666Z,GA,Vision-8,34,0,"{""lane_kp_off"": 0.0, ""lane_kp_head"": 0.3631974845024746, ""lane_kp_curv"": 0.04838653068114507, ""curv_thr_slow"": 0.49761054198563426, ""lane_conf_thr"": 0.4100052716257677, ""canny_scale"": 1.0624244509436773, ""hough_threshold"": 29, ""diag_roi_row_start"": 0.5266222269129308}",76.50165,78.943545
2025-10-15T06:38:00.730387Z,GA,Vision-8,35,0,"{""lane_kp_off"": 0.1993091109223668, ""lane_kp_head"": 0.3076378486828104, ""lane_kp_curv"": 0.1425162136588, ""curv_thr_slow"": 0.571823766353985, ""lane_conf_thr"": 0.560377199117358, ""canny_scale"": 1.0556893408936223, ""hough_threshold"": 19, ""diag_roi_row_start"": 0.5653877511946018}",76.656464,78.943545
2025-10-15T06:38:49.884869Z,GA,Vision-8,36,0,"{""lane_kp_off"": 0.15245654738925257, ""lane_kp_head"": 0.2876548131662475, ""lane_kp_curv"": 0.1294965925078948, ""curv_thr_slow"": 0.7979635869962373, ""lane_conf_thr"": 0.4809986861582092, ""canny_scale"": 1.0766226513947126, ""hough_threshold"": 23, ""diag_roi_row_start"": 0.5534192743825755}",77.159768,78.943545
2025-10-15T06:39:37.639983Z,GA,Vision-8,37,0,"{""lane_kp_off"": 0.11740828631685463, ""lane_kp_head"": 0.23604326084612015, ""lane_kp_curv"": 0.09257502061912298, ""curv_thr_slow"": 0.8687431164750851, ""lane_conf_thr"": 0.5467982057314488, ""canny_scale"": 1.158268153503534, ""hough_threshold"": 23, ""diag_roi_row_start"": 0.5739230267669}",74.209902,78.943545
2025-10-15T06:40:26.635554Z,GA,Vision-8,38,0,"{""lane_kp_off"": 0.14510520549423267, ""lane_kp_head"": 0.4, ""lane_kp_curv"": 0.23589741493221802, ""curv_thr_slow"": 0.6609677106916453, ""lane_conf_thr"": 0.6382159261877814, ""canny_scale"": 1.2268404753641962, ""hough_threshold"": 21, ""diag_roi_row_start"": 0.5677136824565746}",76.514115,78.943545
